Disease,Workouts
Panic disorder,"[""Deep breathing exercises: Calm your mind by focusing on slow, deep breaths"", ""Yoga: Combines breathing and movement for relaxation"", ""Mindfulness meditation: Helps reduce anxiety by staying present"", ""Regular aerobic exercise: Boosts mood and reduces stress""]"
Vaginitis,"[""Pelvic floor exercises: Strengthen pelvic muscles to reduce discomfort"", ""Avoid tight clothing: Prevent irritation"", ""Use cotton underwear: Helps keep area dry and breathable"", ""Maintain hygiene: Prevent infections""]"
Problem during pregnancy,"[""Prenatal yoga: Gentle stretches safe for pregnancy"", ""Walking: Keeps you active and healthy"", ""Pelvic tilts: Strengthen core muscles"", ""Kegel exercises: Support pelvic health""]"
Acute pancreatitis,"[""Avoid heavy lifting: Prevent strain on pancreas"", ""Gentle stretching: Maintain flexibility"", ""Rest: Allow healing"", ""Breathing exercises: Reduce stress and pain""]"
Asthma,"[""Breathing exercises: Improve lung function"", ""Yoga: Combines breathing and movement"", ""Swimming: Low-impact cardio good for lungs"", ""Avoid strenuous workouts during flare-ups: Prevent attacks""]"
Infectious gastroenteritis,"[""Rest: Allow the body to recover"", ""Gentle walking: Only after symptoms improve"", ""Hydration focus: Replenish fluids before any activity"", ""Avoid strenuous exercise: Prevent worsening dehydration""]"
Acute sinusitis,"[""Nasal breathing exercises: Help open airways"", ""Gentle yoga: Promotes drainage"", ""Walking: Low intensity, improves circulation"", ""Avoid cold-weather workouts: Prevent sinus aggravation""]"
Cornea infection,"[""Rest the eyes: Avoid screen-heavy workouts"", ""Gentle walking: Safe and non-straining"", ""Indoor stretching: Limits light exposure"", ""Avoid swimming: Prevent waterborne pathogens""]"
Marijuana abuse,"[""Cardio workouts: Boost dopamine and mood"", ""Yoga: Improve focus and reduce cravings"", ""Strength training: Rebuild physical health"", ""Group activities: Enhance social motivation and discipline""]"
Bursitis,"[""Gentle range-of-motion exercises: Prevent joint stiffness"", ""Low-impact cardio: Like swimming or cycling"", ""Stretching: Keep affected areas flexible"", ""Avoid pressure on joints: Use proper form and padding""]"
Actinic keratosis,"[""Indoor workouts: Avoid sun exposure"", ""Gentle stretching: Maintain skin comfort"", ""Low-sweat activities: Prevent skin irritation"", ""Walking in shaded areas: If outdoor movement needed""]"
Chronic obstructive pulmonary disease (COPD),"[""Pursed-lip breathing: Improve oxygen use"", ""Walking: Build endurance safely"", ""Stationary biking: Low strain on lungs"", ""Pulmonary rehabilitation exercises: Doctor-guided regimens""]"
