Disease,Medication
Panic disorder,"['SSRIs (e.g., Sertraline, Fluoxetine)', 'Benzodiazepines (e.g., Clonazepam, Alprazolam)', 'SNRIs (e.g., Venlafaxine)', 'Beta-blockers', 'Cognitive Behavioral Therapy (CBT)']"
Vaginitis,"['Metronidazole', 'Clindamycin', 'Fluconazole', 'Hydrocortisone cream', 'Probiotic supplements']"
Problem during pregnancy,"['Prenatal vitamins', 'Iron supplements', 'Antihypertensives (e.g., Labetalol)', 'Insulin (for gestational diabetes)', 'Folic acid']"
Acute pancreatitis,"['IV fluids', 'Pain relievers (e.g., Morphine)', 'Antibiotics (if infection)', 'Enzyme replacement therapy', 'Fasting/NPO']"
Asthma,"['Inhaled corticosteroids (e.g., Fluticasone)', 'Beta-agonists (e.g., Albuterol)', 'Leukotriene modifiers (e.g., Montelukast)', 'Anticholinergics (e.g., Ipratropium)', 'Omalizumab']"
Infectious gastroenteritis,"['Oral rehydration salts (ORS)', 'Antibiotics (e.g., Ciprofloxacin, if bacterial)', 'Antiemetics (e.g., Ondansetron)', 'Probiotics', 'Loperamide (if appropriate)']"
Acute sinusitis,"['Saline nasal spray', 'Decongestants (e.g., Pseudoephedrine)', 'Nasal corticosteroids', 'Antibiotics (if bacterial)', 'Acetaminophen for pain']"
Cornea infection,"['Antibiotic eye drops (e.g., Ciprofloxacin)', 'Antiviral eye drops (e.g., Ganciclovir)', 'Antifungal drops (e.g., Natamycin)', 'Lubricant eye drops', 'Steroids (in selected cases)']"
Marijuana abuse,"['Behavioral therapy', 'CBT', 'Motivational enhancement therapy', 'No FDA-approved medications', 'Support groups (e.g., NA)']"
Bursitis,"['NSAIDs (e.g., Ibuprofen)', 'Corticosteroid injections', 'Ice packs', 'Physical therapy', 'Antibiotics (if septic bursitis)']"
Actinic keratosis,"['Topical 5-fluorouracil', 'Imiquimod cream', 'Diclofenac gel', 'Cryotherapy', 'Photodynamic therapy']"
Chronic obstructive pulmonary disease (COPD),"['Bronchodilators (e.g., Salbutamol)', 'Inhaled corticosteroids', 'Phosphodiesterase-4 inhibitors (e.g., Roflumilast)', 'Oxygen therapy', 'Antibiotics during exacerbations']"
Spondylosis,"['NSAIDs (e.g., Naproxen)', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Surgery in severe cases']"
Injury to the arm,"['Pain relievers (e.g., Acetaminophen)', 'Cold compress', 'Immobilization/splinting', 'Antibiotics (if open wound)', 'Physical therapy']"
Complex regional pain syndrome,"['Gabapentin', 'Amitriptyline', 'Physical therapy', 'Corticosteroids', 'Nerve blocks']"
Injury to the trunk,"['Pain relievers (e.g., Ibuprofen)', 'Ice/heat therapy', 'Muscle relaxants', 'Wound care (if external)', 'Physiotherapy']"
Vulvodynia,"['Topical Lidocaine', 'Tricyclic antidepressants (e.g., Amitriptyline)', 'Gabapentin', 'Physical therapy', 'Cognitive behavioral therapy']"
Concussion,"['Rest', 'Acetaminophen (avoid NSAIDs early)', 'Cognitive rest', 'Hydration', 'Gradual return to activities']"
Hypoglycemia,"['Glucose tablets', 'Juice or sugary snacks', 'Glucagon injection (emergency)', 'Adjust insulin or diabetes medication', 'Frequent meals']"
Hiatal hernia,"['Antacids', 'Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Prokinetic agents', 'Surgery (in severe cases)']"
Allergy,"['Antihistamines (e.g., Loratadine)', 'Decongestants (e.g., Pseudoephedrine)', 'Epinephrine auto-injectors', 'Corticosteroids', 'Immunotherapy (allergy shots)']"
Acute bronchospasm,"['Short-acting beta-agonists (e.g., Albuterol)', 'Anticholinergics', 'Systemic corticosteroids', 'Oxygen therapy', 'Magnesium sulfate (in severe cases)']"
Degenerative disc disease,"['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgery (e.g., spinal fusion in advanced cases)']"
Pain after an operation,"['Acetaminophen', 'Opioids (e.g., Morphine, Tramadol)', 'NSAIDs', 'Local anesthetics', 'Nerve blocks']"
Injury to the leg,"['Pain relievers', 'Compression bandages', 'Crutches or brace', 'Physical therapy', 'Antibiotics (if open wound)']"
Gout,"['Colchicine', 'NSAIDs (e.g., Indomethacin)', 'Allopurinol', 'Febuxostat', 'Corticosteroids']"
Otitis media,"['Amoxicillin', 'Cefdinir', 'Acetaminophen for pain', 'Decongestants', 'Tympanostomy (if recurrent)']"
Acute kidney injury,"['IV fluids', 'Diuretics (e.g., Furosemide)', 'Electrolyte management', 'Discontinue nephrotoxic drugs', 'Dialysis (if severe)']"
Threatened pregnancy,"['Progesterone supplements', 'Folic acid', 'Bed rest (limited use)', 'IV fluids (if dehydrated)', 'Close monitoring with ultrasound']"
Gum disease,"['Antibacterial mouthwash (e.g., Chlorhexidine)', 'Scaling and root planing', 'Doxycycline', 'Fluoride toothpaste', 'Surgical interventions (if severe)']"
Gastrointestinal hemorrhage,"['IV proton pump inhibitors (e.g., Pantoprazole)', 'Endoscopic hemostasis', 'Blood transfusion', 'Octreotide (for variceal bleeding)', 'Antibiotics (e.g., Ceftriaxone) if cirrhosis present']"
Anxiety,"['SSRIs (e.g., Escitalopram)', 'SNRIs (e.g., Duloxetine)', 'Benzodiazepines (short-term use)', 'Buspirone', 'Cognitive Behavioral Therapy (CBT)']"
Conjunctivitis due to allergy,"['Antihistamine eye drops (e.g., Olopatadine)', 'Mast cell stabilizers (e.g., Ketotifen)', 'Artificial tears', 'Oral antihistamines', 'Cold compress']"
Drug reaction,"['Discontinuation of offending drug', 'Antihistamines (e.g., Diphenhydramine)', 'Corticosteroids', 'Epinephrine (for anaphylaxis)', 'IV fluids and supportive care']"
Macular degeneration,"['Anti-VEGF injections (e.g., Ranibizumab, Aflibercept)', 'AREDS2 vitamin supplements', 'Photodynamic therapy', 'Laser therapy (rarely)', 'Low vision aids']"
Pneumonia,"['Antibiotics (e.g., Azithromycin, Ceftriaxone)', 'Antivirals (e.g., Oseltamivir if viral)', 'Expectorants', 'Fever reducers (e.g., Acetaminophen)', 'Oxygen therapy if needed']"
Vaginal cyst,"['Warm compress', 'Sitz bath', 'Antibiotics (if infected)', 'Surgical drainage (if large or recurrent)', 'Analgesics for pain']"
Carpal tunnel syndrome,"['Wrist splint', 'NSAIDs', 'Corticosteroid injections', 'Gabapentin (if nerve pain)', 'Surgical decompression (if severe)']"
Nose disorder,"['Nasal decongestants (e.g., Oxymetazoline)', 'Antihistamines', 'Saline nasal spray', 'Intranasal corticosteroids', 'Antibiotics (if bacterial infection)']"
Dental caries,"['Fluoride toothpaste or gel', 'Dental fillings', 'Chlorhexidine mouth rinse', 'Analgesics for pain', 'Root canal therapy (if advanced)']"
Hypertensive heart disease,"['ACE inhibitors (e.g., Lisinopril)', 'Beta-blockers (e.g., Metoprolol)', 'Diuretics (e.g., Furosemide)', 'Calcium channel blockers (e.g., Amlodipine)', 'Lifestyle modification']"
Seasonal allergies (hay fever),"['Oral antihistamines (e.g., Cetirizine)', 'Intranasal corticosteroids (e.g., Fluticasone)', 'Leukotriene receptor antagonists (e.g., Montelukast)', 'Nasal saline rinses', 'Allergy immunotherapy']"
